OA,OB,OC,OD,OE
121.3424904969401,271.1180554666177,286.5588944702293,111.35977729862789,98.3107318658548
139.60659010233005,286.01573383294846,306.2025473440742,120.83045973594572,106.66770832824712
146.8911161370898,302.32432915661946,316.12813857674865,129.29423807734048,120.24142381059865
153.05227865013967,307.19700519373555,320.92989888759195,131.94695904036593,122.67436570041843
169.04733065032408,312.1938500355188,334.7416914577567,135.95955280891445,128.3160161476345
159.70284906663375,310.3159680068043,330.056055845064,138.31124321616085,130.38404810405297
166.02710622064097,311.52046481732145,327.8322741891042,142.29898102235308,133.9589489358587
151.64761785138597,311.52046481732145,329.61189298931555,140.00357138301865,126.90547663517127
158.52129194527782,313.26985172531363,330.82321563034236,144.05901568454507,128.22246293064254
161.3071604114337,315.6342820417326,331.1223338888514,146.76852523616907,129.07362240210043
160.85397104206038,315.5724956329369,327.8322741891042,144.4506836259351,130.59862173851607
179.42407865166817,317.45550869373807,326.7919827657955,146.696966567138,133.80956617521784
166.388100536066,309.3169895107606,328.0746866187637,136.85028315644803,123.69316876852982
170.83617883809038,314.1591953134589,324.7845439672276,137.88400922514546,126.01587201618692
170.14111789923092,312.4627977855924,325.17072438951203,139.97856978837868,129.63024338479042
167.44252745345193,312.27071588607214,321.06852851065923,139.0898989862312,132.43866504914644
171.09354166653983,311.3615262038648,322.3491895445062,136.40014662748717,125.41929676090518
175.8465239918037,314.2689930616764,322.6143208228674,135.56548233234005,127.80062597655773
158.75767697972907,308.3650434144571,323.9753077010654,139.18692467326088,125.39936203984452
173.6663467687393,311.16073017011644,324.1681662347492,136.4734406395618,129.0155029444136
164.45364088398895,312.313944613429,323.2243802685682,136.85028315644803,129.8345100502944
170.83617883809038,315.35694062442957,326.663435358168,138.2931668593933,129.20139318134306
172.67889274604468,314.5155004129367,325.7759966602819,145.34441853748632,135.41787178950938
164.43843832875572,310.195099896823,324.8338036596561,137.3062270984095,129.18978287774928
150.68510211696443,309.7127701597078,329.70592957967864,142.3938200906205,130.17680284904833
164.17368851311102,313.4613213779333,324.1681662347492,141.3223266154361,132.6536844569347
169.36646657470303,311.3615262038648,326.11194397016493,135.95955280891445,126.90547663517127
169.1892431568863,309.46728421595714,322.95046059728725,139.97856978837868,132.13629327327143
170.06175348972502,307.2751210234893,323.55679563254427,138.6542462386205,126.82271089990152
157.00318468107582,308.41530441921975,324.2298567374695,138.6542462386205,126.81088281373961
159.76545308670458,307.52723456630633,325.25989608311687,143.65583872575453,131.64345787011217
167.86899654194636,314.5155004129367,324.8338036596561,147.58048651498612,134.31678971744373
155.2707313050338,311.64242329952447,325.5103684984551,148.12494725737457,136.7808466123821
170.13524032369074,310.4126286090822,328.18439938546743,145.82523787054146,133.30416347586447
157.4325252290644,309.5238278388273,326.5455557805067,143.65583872575453,132.32157798333574
161.1241757155021,311.46428366668306,325.25989608311687,142.70599146496969,131.89389675038038
156.54072952429985,310.7796647144082,324.6721423220662,144.62710672622887,132.38202294873727
162.68988905276197,312.6403684747061,329.98484813700156,146.98639392814562,134.41726079637243
166.20770138594662,311.4113035841827,326.5455557805067,144.9413674559475,134.06341782902598
163.88410539158457,309.4139621930465,329.61189298931555,144.53373308677806,132.45754036671525
165.19685227025363,309.4139621930465,328.27427556846425,144.62710672622887,136.69308687713507
171.9912788486672,307.37111119947497,330.9924470437354,145.6605643267937,136.61991070118586
207.87015177749788,309.438200615244,323.6309626719916,142.76203977248295,130.59862173851607
207.45360927204905,302.61031046545656,314.3262636179166,125.93649193144932,116.60617479361889
196.4306493396588,300.45631962067296,316.53751752359466,119.5198728245642,116.21101496846157
194.7562579225633,306.57136200238926,158.52129194527782,100.12492197250393,101.9803902718557
182.0988742414406,296.44561052577586,308.18500936937215,101.40019723846694,96.17692030835673
180.20543831971332,289.8620361482338,308.1963659746818,107.07474025184464,83.45058418010026
173.9482681718907,287.5030434621519,313.1022197302344,110.07270324653611,85.47514258543241
164.98484778912274,294.43675042358416,312.4627977855924,115.95257651298655,82.29823813423954
144.8481963988506,292.61749776799064,315.12854520020875,103.73041983911952,71.06335201775947
156.16977940690063,294.0085032783916,317.56889016400834,109.7679370308106,69.26037828369117
155.2707313050338,296.5569085352759,318.69264189811474,113.6001760562016,72.44998274671983
153.57408635573907,300.83217912982644,317.15768948584554,108.41586599755591,68.15423684555495
156.8948692596415,306.2025473440742,322.0558957696629,115.95257651298655,75.43208866258443
172.12204972053988,303.92268753747226,324.0061727807049,117.88553770501282,75.8946638440411
158.90248582070703,306.11109094575454,323.0061918911153,115.7410903698423,73.00684899377592
155.95512174981621,304.19894805866767,323.154761685481,115.52056094046635,75.27283706623525
147.70917371646217,303.5951251255527,317.00630908548175,115.12167476196652,74.09453421137081
154.14927829866735,304.2137406495637,319.00626953086675,114.75626344561765,79.07591289387686
152.08221460775746,296.8164415931166,319.02507738420815,116.55899793666725,74.33034373659252
148.43180252223578,294.3637205907005,315.02539580167183,114.93476410555685,73.68174807915459
148.07092894960846,297.89259809535383,311.00160771288625,114.75626344561765,75.8946638440411
146.32839779072276,296.65468140583926,312.00641019056,110.64357188738983,74.52516353554684
146.6594695203825,294.10882339705483,310.0790221862808,112.8716084761797,70.83078426785913
152.2366578718805,293.7771264070775,315.0142853903613,111.46299834474219,75.50496672405067
147.87156589419075,298.2029510249689,313.05750270517393,118.37651794169315,75.7099729229908
154.02921800749363,295.0406751619173,315.0142853903613,116.40017182117903,74.95331880577403
147.49237268414933,298.2633064927699,315.0063491423625,113.95174417269794,72.27724399837061
148.66068747318505,294.76770515102226,315.00158729758806,115.26057435220423,74.52516353554684
151.85519418182574,299.81661061388843,317.0394297244429,118.86967653695369,77.3692445355388
149.2816130673835,296.3055855025349,314.0398063940302,115.26057435220423,76.2954782408499
144.06942770761603,295.05423230314796,317.00157728314224,116.40017182117903,79.07591289387686
147.87156589419075,295.98986469134377,313.0063897111367,113.95174417269794,73.7563556583431
148.47558721890948,294.15982050579237,319.00626953086675,116.40017182117903,78.44743462982075
153.57408635573907,298.8394217635953,315.0063491423625,121.6552506059644,80.049984384758
150.02999700059985,296.94612305938597,315.0063491423625,115.91807451816995,75.7099729229908
151.21177202850313,294.72699231661835,315.03968004046726,115.7410903698423,78.26237921249263
153.16984037335808,293.1433096626972,317.3089976663126,117.47765745025733,81.49233092751734
147.2311108427835,296.62434155004877,313.0015974400131,116.2497311824849,75.50496672405067
167.17057157286985,298.573274088623,319.189598828032,117.27744881263405,79.81227975693966
149.4824404403407,293.4620929523948,314.00159235265033,112.29425630903836,75.95393340703298
148.07092894960846,294.43675042358416,316.0253154416589,118.53269591129698,79.2464510246358
149.64290828502365,289.98103386256145,316.2419959461425,120.66896867049125,80.049984384758
141.0283659410404,294.45712760943655,311.0401903291599,114.9826073804208,75.66372975210778
149.77650015940418,295.71100757327247,317.00157728314224,113.86395390991831,77.92945527847606
141.05672617780408,300.4330208216134,314.0398063940302,113.99122773266372,78.91767862779544
143.37712509323097,296.01351320505626,315.0,110.64357188738983,77.92945527847606
143.54441821262157,294.5318318959769,313.1022197302344,115.26057435220423,75.8023746329889
144.3606594609487,294.10882339705483,314.00159235265033,111.46299834474219,76.11832893594026
139.44174410842686,294.45712760943655,313.05750270517393,106.92053123698928,72.56031973468694
144.734239211045,294.4095786485216,315.00158729758806,114.93476410555685,77.27871634544663
147.2311108427835,297.27092020579477,311.00160771288625,113.13708498984761,77.78174593052023
140.42791745233566,298.5196810932237,314.00159235265033,112.44998888394787,76.11832893594026
145.16886718577092,298.6000669792289,312.01442274356486,113.6001760562016,75.50496672405067
146.8911161370898,298.6000669792289,312.01442274356486,113.95174417269794,73.348483283569
142.86357128393507,295.8800432607782,310.0580590792634,113.95174417269794,74.52516353554684
