OA,OB,OC,OD,OE
179.20100446147057,236.07202290826416,248.07257002740147,230.8679276123039,196.57314160383152
179.20100446147057,234.78500803926983,246.9534369066363,230.95670589961227,196.9771560359221
179.0111728356641,234.43762496664223,246.82990094394967,229.87170334775874,196.0637651377735
178.21896644296868,234.0939982143925,246.71035649116962,230.05434140654683,196.4739168439414
177.4288589829738,234.3608329051593,245.7173172570464,230.05434140654683,195.97959077414157
179.44915714485816,236.24775131204953,247.58836806279893,231.24878378058554,197.3068675946177
178.83232370016333,235.30405861353094,246.59480935331953,230.15212360523637,195.0717816599828
177.73013250431114,236.5417510715603,247.37016796695596,231.46490014686893,197.25364381932212
178.5077029150283,236.22235287965447,247.2670621008791,229.36651891677653,195.0179478919825
177.99157283422156,235.28705871764387,247.07286374670934,228.72035327010144,191.41577782408638
176.13914953808538,234.88720697390056,244.73863609981976,223.8861317723811,182.4636950190366
175.41379649275024,233.33452380648689,242.20652344641752,218.50629281556172,171.30382365843442
171.8254928699464,233.20591759215716,239.2091135387613,215.82400237230334,161.91355718407277
170.20575783445165,234.3608329051593,237.35627229968034,210.95023109728987,153.79206741571556
168.65645555388622,235.42302351299458,233.42022191746798,203.35437049643167,146.2942240828393
166.0903368652132,232.95707759155977,228.3703133071372,197.1623696347759,136.34148304899725
165.05150711217394,233.3452377915607,228.42942017174582,194.02319448973105,133.98880550254935
165.19685227025363,233.80547470065795,229.49074055394914,193.06475597581243,129.31357237351384
165.46298679765212,229.96086623597503,229.31419493786248,192.43960091415696,128.2497563350512
164.46884203398528,226.79726629745784,229.31419493786248,186.52613757862463,126.4792473095883
160.9751533622503,225.71885167172013,226.37358503146962,184.78365728602733,125.93649193144932
150.2165104108067,221.9954954497951,219.91134577370036,177.9100896520487,119.4361754243663
158.86157496386593,223.89506470666117,221.0,182.1647605877712,119.33147112141039
149.04026301640775,222.64994947226015,222.19360926903366,190.70395905696347,126.17844506887855
141.7391971192161,222.81157959136684,225.6213642366343,195.92090240706835,129.86531484580476
132.5028301584536,225.5681715136247,227.4906591488978,198.92712233378333,131.52946437965906
126.84636376341263,225.37524265100637,229.10696191953662,202.88173895153798,138.75518008348374
127.01181047445942,230.05434140654683,233.93161393877486,205.08047201037937,145.90750494748377
126.28935030318273,232.0086205294967,236.31546711969574,209.2008604188807,150.65855435387664
127.66362050325849,233.00214591286493,238.43657437566074,211.59631376751344,155.42522317822161
128.41339493993607,236.00211863455803,241.69609016283238,216.33307652783935,163.835283135227
126.11502686040232,236.0,242.16110340019515,216.41164478835236,163.51758315239374
135.03332921912278,235.03404008781365,242.6849809938802,219.22819161777528,171.0263137648707
143.4015341619468,234.07691043757393,242.98971171636055,221.56263222845138,174.91712323268982
151.83214415926557,235.1361307838504,242.32416305436814,221.35265979879256,177.2596964907703
156.20819440733575,236.13555429032706,242.4912369550702,223.0201784592596,179.76929659983654
158.927656498169,237.21087664776252,243.47689828811275,224.14727301486406,182.0988742414406
158.927656498169,238.20999139414786,244.80604567698077,225.80744009000236,187.4459922217597
158.11388300841898,234.2584043316269,243.0164603478538,222.46797522340154,188.62131374794313
159.38004893963358,232.42202993692314,242.8373941550189,223.8861317723811,189.17980864775183
159.53056133543816,231.48650068632512,242.66231681083076,223.37636401374252,189.9315666233499
159.93123522314207,229.63013739489858,241.85326129701042,222.5690903966676,190.68560512005095
162.3884232326923,227.79376637651873,239.88538930080756,223.48601745970598,190.14205216100936
161.91355718407277,227.71253808255707,239.70815588961506,223.61797781037194,192.31484602078956
162.3607095328177,227.06827167175956,239.0397456491284,220.79175709251467,191.80198122021577
162.4130536625674,226.27637967759694,238.05251521460553,221.72054483064937,190.53608582103286
160.75136080294934,224.75097330156325,236.31546711969574,220.27255843613383,190.23406634985227
161.89502771858065,225.42848089804446,235.79016094824652,220.10906387516167,191.01047091717248
163.37074401495514,222.92599668948438,233.34309503390068,215.36248512682053,188.67167248953936
163.9176622576103,221.11761576138613,232.34887561595818,216.31458573105976,188.91532494744834
162.53307355735325,219.80445855350615,232.57256931977167,216.9331694324314,190.06577808748213
162.8066337714775,219.80445855350615,233.45235059857504,216.6217902243447,190.06577808748213
162.28986413205232,220.30206535572924,232.04525420701884,216.31458573105976,188.3454273402994
162.63148526653748,220.04544985070697,232.7767170487633,217.04377438664304,187.48866632412745
161.7188919081503,218.87439320304236,231.95258136093247,217.7200036744442,187.21645226849054
161.7188919081503,218.68927728629038,233.0407689654323,217.33154395991392,187.48866632412745
163.21764610482532,220.43593173527768,232.7767170487633,216.48094604375694,186.3866948041088
164.2589419179364,220.04544985070697,234.7701003109212,218.40329667841556,189.992105099133
164.83931569865243,220.238507078122,233.6193485137736,220.05681084665386,188.67962264113208
161.7188919081503,218.87439320304236,232.86047324524614,218.68013169924697,189.15602025840997
164.02743672934722,219.86586820150143,232.55106965997814,217.86234185833953,185.9247159470736
162.63148526653748,219.45614596087302,232.7767170487633,217.168137626126,187.22446421341417
163.44418007380992,218.27734651126764,231.70023737579555,218.13069476806788,187.22446421341417
163.682619724881,218.08255317654368,232.7767170487633,218.40329667841556,188.60805921274945
163.11039206623224,218.08255317654368,232.86047324524614,218.0022935659164,188.32153355365392
163.44418007380992,219.25783908448975,232.6972281742952,217.44194627532195,187.22446421341417
165.32392446346051,221.21934815924217,234.7701003109212,220.05681084665386,188.904737897174
164.50227961946302,219.06391761310215,232.86047324524614,218.40329667841556,188.904737897174
161.7188919081503,218.68927728629038,231.95258136093247,217.04377438664304,187.48866632412745
161.47135968957468,220.238507078122,232.7767170487633,217.44194627532195,186.6815470259447
161.15210206509875,217.70622407271685,233.0407689654323,217.04377438664304,188.32153355365392
161.7188919081503,218.08255317654368,231.8641843838759,218.13069476806788,187.52333188166213
162.8066337714775,218.68927728629038,233.0407689654323,217.33154395991392,187.77113729218343
162.5423021862309,218.87439320304236,233.0407689654323,217.7200036744442,187.77113729218343
164.7573974060042,219.06391761310215,232.94849216082082,217.04377438664304,187.77113729218343
161.4187101918486,218.68927728629038,233.0407689654323,218.0022935659164,188.32153355365392
162.5423021862309,217.89217516927954,233.0407689654323,218.68013169924697,186.6815470259447
161.9783936208777,218.68927728629038,232.94849216082082,217.04377438664304,186.3866948041088
161.9783936208777,218.87439320304236,232.94849216082082,218.40329667841556,186.3866948041088
162.5423021862309,219.06391761310215,232.94849216082082,218.13069476806788,187.22446421341417
160.86329600005092,217.34764779035453,234.23279018958897,218.28879952943075,189.15602025840997
162.5423021862309,217.70622407271685,232.04525420701884,217.44194627532195,185.84133017173548
161.69724796668618,218.50858106719744,233.13729860320507,218.0022935659164,188.32153355365392
162.24980739587951,218.87439320304236,231.95258136093247,218.40329667841556,189.44656238633627
160.86329600005092,217.17504460687928,232.24340679554285,217.33154395991392,188.04520733057782
163.63679292872982,217.52471123989568,232.14219780126146,217.44194627532195,187.77113729218343
162.53307355735325,218.3323155192561,232.14219780126146,218.96118377465902,188.06381895516213
163.63679292872982,218.68927728629038,230.95670589961227,216.20592036297248,186.93581786270923
160.0656115472652,220.1317787144782,231.3547060251855,216.6679487141557,189.4333655932872
162.28986413205232,220.30206535572924,232.14219780126146,217.33154395991392,188.04520733057782
160.37767924496225,218.8172753691993,232.4585984643287,218.57950498617203,188.04520733057782
161.75598906995685,220.47675614449702,233.0407689654323,217.04377438664304,187.77113729218343
